Accession	Organism	Kingdom	Length	Cleavage	Type	Fold	Transmembrane
P0DKB9	Arabidopsis thaliana	Viridiplantae	326		-	3	False
Q9BXL5	Homo sapiens	Metazoa	484		-	4	False
Q08417	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	382		-	0	True
O23144	Arabidopsis thaliana	Viridiplantae	612		-	1	False
O01971	Caenorhabditis elegans	Metazoa	166		-	2	False
O81098	Arabidopsis thaliana	Viridiplantae	205		-	3	False
P07332	Homo sapiens	Metazoa	822		-	4	False
Q923D5	Mus musculus	Metazoa	641		-	0	False
Q14693	Homo sapiens	Metazoa	890		-	1	False
Q9QZM5	Rattus norvegicus	Metazoa	476		-	2	False
Q9Y5Q5	Homo sapiens	Metazoa	1042		-	3	True
B1AWL2	Mus musculus	Metazoa	2495		-	4	False
Q08287	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	484		-	0	False
P23351	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	508		-	1	False
D2K8N5	Nicotiana benthamiana	Viridiplantae	403		-	2	False
Q9VQ30	Drosophila melanogaster	Metazoa	604		-	3	False
O14929	Homo sapiens	Metazoa	419		-	4	False
P42677	Homo sapiens	Metazoa	84		-	0	False
Q8TC56	Homo sapiens	Metazoa	605		-	1	False
O14079	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	624		-	2	False
P08456	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	276		-	3	True
P38996	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	802		-	4	False
Q9FXI5	Arabidopsis thaliana	Viridiplantae	794		-	0	False
Q6NPN9	Arabidopsis thaliana	Viridiplantae	350		-	1	False
Q8K339	Mus musculus	Metazoa	391		-	2	False
C9JLW8	Homo sapiens	Metazoa	97		-	3	False
P09081	Drosophila melanogaster	Metazoa	494		-	4	False
Q9M0S5	Arabidopsis thaliana	Viridiplantae	764		-	0	False
Q9NTZ6	Homo sapiens	Metazoa	932		-	1	False
Q5T8A7	Homo sapiens	Metazoa	1209		-	2	False
Q8N1G0	Homo sapiens	Metazoa	1237		-	3	False
P38988	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	300		-	4	True
Q9Y0E4	Drosophila melanogaster	Metazoa	2262		-	0	False
Q86WV6	Homo sapiens	Metazoa	379		-	1	True
Q8L785	Arabidopsis thaliana	Viridiplantae	1067		-	2	False
D3YXJ0	Mus musculus	Metazoa	1211		-	3	False
Q5SUQ9	Mus musculus	Metazoa	1212		-	4	False
K4PW38	Oryza sativa subsp. japonica	Viridiplantae	458		-	0	False
Q9SJ50	Arabidopsis thaliana	Viridiplantae	333		-	1	False
Q01519	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	83		-	2	False
Q9NZC9	Homo sapiens	Metazoa	954		-	3	False
Q06211	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1407		-	4	False
Q02630	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1113		-	0	False
P87133	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	121		-	1	False
Q96BT3	Homo sapiens	Metazoa	561		-	2	False
O96622	Dictyostelium discoideum	Other	369		-	3	False
A0A0D1CRC9	Ustilago maydis (strain 521 / FGSC 9021)	Fungi	534		-	4	False
O13894	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	124		-	0	False
Q9Y6K0	Homo sapiens	Metazoa	416		-	1	True
Q9P805	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	127		-	2	False
Q6FN94	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138)	Fungi	499		-	3	False
P48608	Drosophila melanogaster	Metazoa	1091		-	4	False
P20659	Drosophila melanogaster	Metazoa	3726		-	0	False
P22936	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367		-	1	False
Q9UST7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1339		-	2	False
Q06338	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		-	3	False
G5EGD2	Caenorhabditis elegans	Metazoa	719		-	4	False
Q7S6M9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	309		-	0	False
O02751	Bos taurus	Metazoa	592		-	1	False
Q8N4T4	Homo sapiens	Metazoa	335		-	2	False
Q6PFQ7	Mus musculus	Metazoa	802		-	3	False
Q38897	Arabidopsis thaliana	Viridiplantae	611		-	4	False
Q12220	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	943		-	0	False
Q5HYK7	Homo sapiens	Metazoa	790		-	1	False
P25087	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	383		-	2	False
Q86MV5	Trypanosoma brucei brucei	Other	487		-	3	False
Q9C5J3	Arabidopsis thaliana	Viridiplantae	946		-	4	False
O74417	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	497		-	0	False
Q5AFI4	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	337		-	1	True
Q9FPR3	Arabidopsis thaliana	Viridiplantae	933		-	2	False
P09925	Mus musculus	Metazoa	306		-	3	True
A4GSN8	Arabidopsis thaliana	Viridiplantae	2093		-	4	False
Q6S5G3	Arabidopsis thaliana	Viridiplantae	793		-	0	False
O89019	Mus musculus	Metazoa	1062		-	1	False
P28324	Homo sapiens	Metazoa	431		-	2	False
O74835	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1690		-	3	False
Q6ZSB9	Homo sapiens	Metazoa	765		-	4	False
Q8WWY6	Homo sapiens	Metazoa	194		-	0	False
Q9WU79	Mus musculus	Metazoa	599		-	1	False
Q6K678	Oryza sativa subsp. japonica	Viridiplantae	210		-	2	False
Q1K4P1	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	129		-	3	False
Q91WE2	Mus musculus	Metazoa	254		-	4	False
P25046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	220		-	0	False
O74560	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	636		-	1	False
Q08605	Drosophila melanogaster	Metazoa	581		-	2	False
P53332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	305		-	3	False
P53327	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1967		-	4	False
O82245	Arabidopsis thaliana	Viridiplantae	196		-	0	True
Q5U5X0	Homo sapiens	Metazoa	104		-	1	False
Q16635	Homo sapiens	Metazoa	262		-	2	False
P82192	Spinacia oleracea	Viridiplantae	258		-	3	False
Q3URD3	Mus musculus	Metazoa	845		-	4	True
O59836	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	545		-	0	False
P42838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	414		-	1	True
Q9H816	Homo sapiens	Metazoa	532		-	2	False
Q12180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1030		-	3	False
W2SDE2	Cyphellophora europaea (strain CBS 101466)	Fungi	346		-	4	False
Q9WUM7	Mesocricetus auratus	Metazoa	1168		-	0	False
Q969P5	Homo sapiens	Metazoa	355		-	1	False
Q8WVF1	Homo sapiens	Metazoa	389		-	2	False
Q9P0S2	Homo sapiens	Metazoa	106		-	3	True
P20134	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	766		-	4	False
Q8VY21	Arabidopsis thaliana	Viridiplantae	406		-	0	False
Q80ZI2	Mus musculus	Metazoa	223		-	1	False
P34087	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	171		-	2	False
Q5VZV1	Homo sapiens	Metazoa	264		-	3	False
Q3E705	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	233		-	4	False
Q86WV1	Homo sapiens	Metazoa	359		-	0	False
Q9Y314	Homo sapiens	Metazoa	301		-	1	False
Q8C5Y2	Mus musculus	Metazoa	53		-	2	True
Q9Y6K5	Homo sapiens	Metazoa	1087		-	3	False
Q9SJH0	Arabidopsis thaliana	Viridiplantae	118		-	4	False
Q86VP3	Homo sapiens	Metazoa	889		-	0	False
Q3HNG7	Bos taurus	Metazoa	343		-	1	False
A8MPH9	Drosophila melanogaster	Metazoa	722		-	2	False
Q8LPQ5	Arabidopsis thaliana	Viridiplantae	1254		-	3	False
P02318	Bos taurus	Metazoa	51		-	4	False
Q9Y804	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	703		-	0	False
Q8N328	Homo sapiens	Metazoa	593		-	1	False
Q9BVI4	Homo sapiens	Metazoa	516		-	2	False
O94276	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	215		-	3	False
Q63398	Rattus norvegicus	Metazoa	584		-	4	False
O20030	Chlamydomonas reinhardtii	Viridiplantae	197		-	0	True
O13788	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	527		-	1	False
Q9VAS7	Drosophila melanogaster	Metazoa	395		-	2	True
Q925J9	Mus musculus	Metazoa	1575		-	3	False
O08608	Mus musculus	Metazoa	189		-	4	False
Q9HDZ6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	155		-	0	False
Q19872	Caenorhabditis elegans	Metazoa	268		-	1	False
P19517	Oryctolagus cuniculus	Metazoa	524		-	2	False
P12383	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1068		-	3	False
Q9HFF5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1205		-	4	False
Q923M1	Rattus norvegicus	Metazoa	233		-	0	False
Q91YR5	Mus musculus	Metazoa	698		-	1	False
P83565	Rattus norvegicus	Metazoa	206		-	2	False
P34283	Caenorhabditis elegans	Metazoa	442		-	3	False
Q7Z7F0	Homo sapiens	Metazoa	614		-	4	False
P25298	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	677		-	0	False
Q12830	Homo sapiens	Metazoa	3046		-	1	False
Q9BSK0	Homo sapiens	Metazoa	173		-	2	True
Q9P0N8	Homo sapiens	Metazoa	246		-	3	False
Q96JN0	Homo sapiens	Metazoa	433		-	4	False
Q9LQK7	Arabidopsis thaliana	Viridiplantae	475		-	0	False
O13834	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	3227		-	1	False
Q9TZ70	Caenorhabditis elegans	Metazoa	205		-	2	False
Q5T4T6	Homo sapiens	Metazoa	812		-	3	False
Q6ATB4	Oryza sativa subsp. japonica	Viridiplantae	583		-	4	False
Q9XXH8	Caenorhabditis elegans	Metazoa	826		-	0	False
Q06497	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	328		-	1	True
Q1K6U7	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	225		-	2	False
O14146	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	159		-	3	False
Q9ASX5	Arabidopsis thaliana	Viridiplantae	540		-	4	False
Q8R526	Mus musculus	Metazoa	2615		-	0	False
Q24119	Drosophila melanogaster	Metazoa	1022		-	1	False
F4I718	Arabidopsis thaliana	Viridiplantae	2136		-	2	False
Q9SN74	Arabidopsis thaliana	Viridiplantae	240		-	3	False
Q69ZR9	Mus musculus	Metazoa	1610		-	4	False
O14013	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	556		-	0	False
Q80WT4	Mus musculus	Metazoa	515		-	1	True
Q03388	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	795		-	2	False
Q9Y2F5	Homo sapiens	Metazoa	2266		-	3	False
P24345	Zea mays	Viridiplantae	359		-	4	False
O74904	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	122		-	0	False
O43008	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	300		-	1	False
P10069	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	432		-	2	False
O75955	Homo sapiens	Metazoa	427		-	3	False
A8MZ59	Homo sapiens	Metazoa	198		-	4	False
Q71RC2	Homo sapiens	Metazoa	724		-	0	False
O36024	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	280		-	1	False
Q9W1R5	Drosophila melanogaster	Metazoa	1854		-	2	False
Q9Y6D6	Homo sapiens	Metazoa	1849		-	3	False
Q60817	Mus musculus	Metazoa	215		-	4	False
O14980	Homo sapiens	Metazoa	1071		-	0	False
Q3S4A7	Arabidopsis thaliana	Viridiplantae	922		-	1	False
O60306	Homo sapiens	Metazoa	1485		-	2	False
Q3E747	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	85		-	3	False
Q9SX77	Arabidopsis thaliana	Viridiplantae	257		-	4	False
Q5SWZ9	Mus musculus	Metazoa	221		-	0	True
Q5EAF2	Arabidopsis thaliana	Viridiplantae	334		-	1	False
Q05636	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	305		-	2	False
Q99288	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	334		-	3	False
Q8SAB7	Arabidopsis thaliana	Viridiplantae	1830		-	4	False
P62879	Homo sapiens	Metazoa	340		-	0	False
P38882	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	575		-	1	False
Q9NX46	Homo sapiens	Metazoa	363		-	2	False
Q6P926	Mus musculus	Metazoa	205		-	3	False
Q8WV24	Homo sapiens	Metazoa	401		-	4	False
Q9ZUT3	Arabidopsis thaliana	Viridiplantae	273		-	0	True
Q9JLI6	Mus musculus	Metazoa	432		-	1	False
O74844	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244		-	2	False
A0A1P8BH03	Arabidopsis thaliana	Viridiplantae	404		-	3	False
Q9Z125	Mus musculus	Metazoa	519		-	4	False
A0A0K2GUJ4	Dermatophagoides pteronyssinus	Metazoa	118		-	0	False
Q9NZD8	Homo sapiens	Metazoa	308		-	1	False
Q9SU30	Arabidopsis thaliana	Viridiplantae	413		-	2	False
Q96LD4	Homo sapiens	Metazoa	638		-	3	False
P22217	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	103		-	4	False
Q9UGY1	Homo sapiens	Metazoa	213		-	0	False
O43765	Homo sapiens	Metazoa	313		-	1	False
Q63ZY3	Homo sapiens	Metazoa	851		-	2	False
Q9LLY4	Brassica napus	Viridiplantae	344		-	3	False
P36012	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	229		-	4	False
Q9Y6D9	Homo sapiens	Metazoa	718		-	0	False
Q9Y4U1	Homo sapiens	Metazoa	282		-	1	False
Q99607	Homo sapiens	Metazoa	663		-	2	False
P22141	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	198		-	3	False
Q02100	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	647		-	4	False
P53168	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	247		-	0	False
Q9HC36	Homo sapiens	Metazoa	420		-	1	False
Q9Y3D7	Homo sapiens	Metazoa	125		-	2	False
P30658	Mus musculus	Metazoa	519		-	3	False
P27889	Mus musculus	Metazoa	558		-	4	False
Q9Y3D5	Homo sapiens	Metazoa	142		-	0	False
P21826	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	554		-	1	False
O74856	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	335		-	2	False
Q8GT66	Pisum sativum	Viridiplantae	436		-	3	False
Q8IXW5	Homo sapiens	Metazoa	612		-	4	False
Q68CP9	Homo sapiens	Metazoa	1835		-	0	False
P78527	Homo sapiens	Metazoa	4128		-	1	False
Q96PH1	Homo sapiens	Metazoa	765		-	2	False
Q96I36	Homo sapiens	Metazoa	57		-	3	True
Q99MQ3	Mus musculus	Metazoa	580		-	4	False
B1AUS7	Mus musculus	Metazoa	101		-	0	False
Q96301	Arabidopsis thaliana	Viridiplantae	914		-	1	False
Q03214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1411		-	2	False
Q8BZ97	Mus musculus	Metazoa	688		-	3	False
Q9LVA9	Arabidopsis thaliana	Viridiplantae	420		-	4	False
O60504	Homo sapiens	Metazoa	671		-	0	False
Q08457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	257		-	1	False
Q9SUA1	Arabidopsis thaliana	Viridiplantae	763		-	2	False
Q02606	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	381		-	3	False
Q01726	Homo sapiens	Metazoa	317		-	4	True
Q9S7G6	Arabidopsis thaliana	Viridiplantae	991		-	0	False
O13965	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	730		-	1	False
Q9H777	Homo sapiens	Metazoa	363		-	2	False
Q6PI77	Homo sapiens	Metazoa	547		-	3	False
O88379	Mus musculus	Metazoa	1555		-	4	False
Q9SRT0	Arabidopsis thaliana	Viridiplantae	460		-	0	False
Q02969	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	394		-	1	False
Q8W4B1	Arabidopsis thaliana	Viridiplantae	652		-	2	False
Q02825	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467		-	3	False
Q960V3	Drosophila melanogaster	Metazoa	1122		-	4	False
Q9CPZ1	Mus musculus	Metazoa	294		-	0	False
O59773	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	994		-	1	False
Q93YN0	Arabidopsis thaliana	Viridiplantae	187		-	2	False
P63242	Mus musculus	Metazoa	154		-	3	False
P97452	Mus musculus	Metazoa	732		-	4	False
P46655	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	708		-	0	False
O60447	Homo sapiens	Metazoa	810		-	1	False
Q9P258	Homo sapiens	Metazoa	522		-	2	False
A4D2B0	Homo sapiens	Metazoa	266		-	3	False
P40554	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	99		-	4	False
P51521	Drosophila melanogaster	Metazoa	1351		-	0	False
P20436	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	146		-	1	False
C7AJA4	Trypanosoma brucei brucei	Other	406		-	2	False
Q53R41	Homo sapiens	Metazoa	847		-	3	False
Q6P9F0	Homo sapiens	Metazoa	684		-	4	False
Q96CW1	Homo sapiens	Metazoa	435		-	0	False
P43616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	481		-	1	False
Q8R000	Mus musculus	Metazoa	340		-	2	True
Q06106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	887		-	3	False
Q9UT91	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	211		-	4	True
Q8VYI3	Arabidopsis thaliana	Viridiplantae	309		-	0	False
P32504	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	956		-	1	False
P78811	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	506		-	2	False
P48558	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	297		-	3	True
O94279	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	172		-	4	False
P27202	Arabidopsis thaliana	Viridiplantae	140		-	0	False
P24522	Homo sapiens	Metazoa	165		-	1	False
P36169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	355		-	2	True
Q9NWT6	Homo sapiens	Metazoa	349		-	3	False
Q9VEX5	Drosophila melanogaster	Metazoa	689		-	4	False
Q00947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	519		-	0	False
P53239	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	316		-	1	False
Q07458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294		-	2	False
Q811D2	Mus musculus	Metazoa	1581		-	3	False
Q7JRE4	Drosophila melanogaster	Metazoa	650		-	4	False
Q91V81	Mus musculus	Metazoa	478		-	0	False
O60287	Homo sapiens	Metazoa	2271		-	1	False
A0PJW6	Homo sapiens	Metazoa	202		-	2	True
Q9STX3	Arabidopsis thaliana	Viridiplantae	151		-	3	False
L0R8F8	Homo sapiens	Metazoa	70		-	4	False
Q9CR51	Mus musculus	Metazoa	118		-	0	False
P50535	Drosophila melanogaster	Metazoa	1039		-	1	False
Q62847	Rattus norvegicus	Metazoa	705		-	2	False
Q08050	Homo sapiens	Metazoa	763		-	3	False
P53804	Homo sapiens	Metazoa	2025		-	4	False
O13563	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	156		-	0	False
P0CT69	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	176		-	1	False
Q22037	Caenorhabditis elegans	Metazoa	346		-	2	False
Q9LD83	Arabidopsis thaliana	Viridiplantae	556		-	3	False
Q8VWG3	Arabidopsis thaliana	Viridiplantae	303		-	4	False
Q9LQU4	Arabidopsis thaliana	Viridiplantae	152		-	0	True
P07276	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1031		-	1	False
Q5SV85	Mus musculus	Metazoa	1306		-	2	False
P53170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	491		-	3	False
Q9LVD0	Arabidopsis thaliana	Viridiplantae	289		-	4	False
F4KFB3	Arabidopsis thaliana	Viridiplantae	598		-	0	False
Q6T4R5	Homo sapiens	Metazoa	1651		-	1	False
Q5ND34	Mus musculus	Metazoa	1934		-	2	False
O64759	Arabidopsis thaliana	Viridiplantae	569		-	3	True
Q9JHR9	Mus musculus	Metazoa	270		-	4	False
O14113	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	263		-	0	False
Q9USR4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	125		-	1	False
O13539	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	261		-	2	False
Q9SAL0	Arabidopsis thaliana	Viridiplantae	401		-	3	False
P53899	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	274		-	4	False
Q06244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	254		-	0	False
Q9NPL8	Homo sapiens	Metazoa	285		-	1	True
Q00922	Candida boidinii	Fungi	663		-	2	False
P21657	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	970		-	3	False
Q9BSF0	Homo sapiens	Metazoa	95		-	4	False
Q60974	Mus musculus	Metazoa	2453		-	0	False
H3K2Y6	Arabidopsis thaliana	Viridiplantae	2235		-	1	False
Q07896	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	663		-	2	False
P25856	Arabidopsis thaliana	Viridiplantae	396		-	3	False
P41318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	303		-	4	False
Q94FL6	Arabidopsis thaliana	Viridiplantae	436		-	0	False
P47093	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	109		-	1	False
Q15022	Homo sapiens	Metazoa	739		-	2	False
P34418	Caenorhabditis elegans	Metazoa	943		-	3	False
Q9Z2A5	Mus musculus	Metazoa	516		-	4	False
O42661	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	117		-	0	False
Q9LMJ4	Arabidopsis thaliana	Viridiplantae	599		-	1	False
Q8IXQ9	Homo sapiens	Metazoa	262		-	2	False
Q4WF54	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	270		-	3	False
P19511	Rattus norvegicus	Metazoa	256		-	4	False
Q9BYE2	Homo sapiens	Metazoa	586		-	0	False
Q8INR6	Drosophila melanogaster	Metazoa	1848		-	1	False
Q53F19	Homo sapiens	Metazoa	620		-	2	False
F8VPJ6	Mus musculus	Metazoa	1459		-	3	False
O42978	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	80		-	4	False
Q38893	Arabidopsis thaliana	Viridiplantae	558		-	0	False
P54886	Homo sapiens	Metazoa	795		-	1	False
O14188	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1489		-	2	False
Q9H875	Homo sapiens	Metazoa	184		-	3	False
P15313	Homo sapiens	Metazoa	513		-	4	False
P0CJ62	Xenopus laevis	Metazoa	239		-	0	False
Q7SHB2	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	348		-	1	False
P48164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	190		-	2	False
Q06102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	208		-	3	False
Q01613	Xenopus laevis	Metazoa	1420		-	4	False
F4ITM1	Arabidopsis thaliana	Viridiplantae	398		-	0	False
Q13868	Homo sapiens	Metazoa	293		-	1	False
Q13889	Homo sapiens	Metazoa	308		-	2	False
Q9JJ28	Mus musculus	Metazoa	1271		-	3	False
Q9CQ79	Mus musculus	Metazoa	226		-	4	False
Q9Y3C1	Homo sapiens	Metazoa	178		-	0	False
Q96ER3	Homo sapiens	Metazoa	474		-	1	False
Q61624	Mus musculus	Metazoa	794		-	2	False
Q9BXW9	Homo sapiens	Metazoa	1451		-	3	False
O60336	Homo sapiens	Metazoa	1514		-	4	False
Q9VTZ2	Drosophila melanogaster	Metazoa	214		-	0	False
Q9H8M2	Homo sapiens	Metazoa	597		-	1	False
Q9LFC0	Arabidopsis thaliana	Viridiplantae	360		-	2	False
P36144	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	274		-	3	False
Q96AG4	Homo sapiens	Metazoa	307		-	4	False
P86044	Mus musculus	Metazoa	747		-	0	False
Q8N684	Homo sapiens	Metazoa	471		-	1	False
Q9JJ09	Rattus norvegicus	Metazoa	695		-	2	False
Q9JM05	Mus musculus	Metazoa	507		-	3	False
P09114	Nicotiana tabacum	Viridiplantae	664		-	4	False
Q96NW4	Homo sapiens	Metazoa	1050		-	0	False
O82277	Arabidopsis thaliana	Viridiplantae	361		-	1	False
P12297	Drosophila melanogaster	Metazoa	963		-	2	False
P38771	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	230		-	3	False
Q8GYU3	Arabidopsis thaliana	Viridiplantae	1465		-	4	False
Q9BZ67	Homo sapiens	Metazoa	464		-	0	False
Q7Z418	Homo sapiens	Metazoa	384		-	1	True
Q15424	Homo sapiens	Metazoa	915		-	2	False
Q10SY9	Oryza sativa subsp. japonica	Viridiplantae	472		-	3	True
Q02864	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	156		-	4	False
P41005	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	101		-	0	False
Q0D3I7	Oryza sativa subsp. japonica	Viridiplantae	262		-	1	False
Q18919	Caenorhabditis elegans	Metazoa	558		-	2	False
Q9UKL0	Homo sapiens	Metazoa	485		-	3	False
Q9Z2D7	Mus musculus	Metazoa	554		-	4	False
Q91X52	Mus musculus	Metazoa	244		-	0	False
Q94JZ8	Arabidopsis thaliana	Viridiplantae	468		-	1	False
Q03771	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	387		-	2	False
P10964	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1664		-	3	False
Q9VJN5	Drosophila melanogaster	Metazoa	470		-	4	False
Q86TV6	Homo sapiens	Metazoa	843		-	0	False
Q09715	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	614		-	1	False
Q8VZB2	Arabidopsis thaliana	Viridiplantae	221		-	2	True
Q06116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2489		-	3	True
